Kto je to? ,Who is it? (Used for people)
To je muž.,That's a man.
Aký je muž?,What is the man like?
Ten muž je vysoký.,The man is tall.
To je žena.,It is a woman.
Aká je žena?,What is the woman like?
Tá žena je pekná.,That woman is pretty.
To je dieťa.,That’s a child
Aké je dieťa?,How is the child?
To dieťa je malé.,That child is small.
To je dom.,That's the house.
Aký je dom?,what is the house like
Ten dom je veľký.,That house is big.
To je kniha.,That's a book.
Aká je kniha?,what is the book
Tá kniha je dobrá.,That book is good.
To je auto.,That's a car.
Aké je auto?,what is the car like
To auto je modré.,That car is blue.
čo je to,"What is it (used for things)"
