to,that
sa,with
je,is a
si,are u
a,a
som,I am a
na,on the
že,that
čo,what
nie,not
v,in
ako,how
tak,so
ale,but
by,would
s,with
tu,here
mi,me
do,to
ja,me
o,about
sme,we are
áno,Yes
ste,you are
ma,I have
z,from
už,already
len,only
ty,you
ho,him
ti,you
aby,to
dobre,all right
za,for
keď,when
ťa,you
tam,PUSH
ak,if
sú,They are
pre,for
bol,he was
toto,this
hej,hey
teraz,now
niečo,something
no,well
prečo,Why
mám,I have
aj,also
ich,them
byť,a flat
ten,the one
bude,will be
všetko,everything
vás,you
kde,where
ju,her
nič,nothing
ešte,yet
vám,you
kto,who
tom,tom
k,k
po,after
máš,you have
môj,my
toho,that
bolo,It was
alebo,or
prosím,please
vieš,U know
myslím,I mean
mňa,me
má,has
takže,so
bola,she was
veľmi,very
poriadku,order
nikdy,never
nás,us
ani,not even
tým,team
jeho,his
viem,I know
jej,her
mal,he had
od,from
chcem,I want to
potom,after that
so,Sat
ďakujem,well thank you
neviem,I do not know
možno,perhaps
mu,him
povedal,he said
oh,oh
vy,you
teba,you
chceš,you want
ísť,go
pane,sir
on,he
ahoj,Hi
viac,more
stále,all the time
tie,those
pán,Mr
naozaj,really
nám,U.S
máme,we have
sem,PULL
pretože,because
poďme,let's go
dnes,today
boli,they were
povedať,to tell
moja,mine
ok,OK
poď,Come
musím,I have to
vo,in
pozri,see
pred,before
môžem,i can
iba,only
budem,I'll be
všetci,everyone
niekto,someone
keby,if
tiež,Too
myslíš,you mean
moje,mine
ktorý,which
my,we
mali,they had
nemôžem,I can not
bože,God
práve,right now
asi,probably
tú,here
či,whether
čas,time
vždy,always
rád,happy
tomu,to that
tvoj,yours
máte,you have
mať,have got
deň,day
veľa,a lot
dobrý,good
trochu,a little bit
jeden,one
stalo,happened
ľudia,people
ktoré,which ones
pri,at
otec,father
tá,the one
tento,this one
chcel,he wanted
jasné,clearly
zo,from
musíme,we have to
mohol,he could
kurva,whore
budeš,you will
ide,it goes
bez,without
mnou,by me
mala,she had
až,until
dobré,all right
robiť,do
teda,so
tebou,by you
život,life
veci,things
mne,to me
môžeš,You can
presne,exactly
daj,come on
dosť,enough
môže,can
robíš,you're doing
viete,you know
však,However
choď,Go
nech,let
nikto,nobody
ľudí,people
domov,Home
musíš,you have to
všetky,all of them
prepáčte,Excuse me
ona,she
povedz,say
budeme,we are going to
preto,for that
deje,happening
späť,back
im,im
urobiť,to do
prepáč,Sorry
každý,every
raz,Rye
lebo,because
kým,by whom
hneď,now
vážne,seriously
rokov,years
tvoja,yours
nechcem,do not want
kedy,when
vďaka,thanks
vedieť,to know
svoje,own
počkaj,hold on
vec,a thing
také,too
noc,night
nejaké,some
videl,he saw
kvôli,because of
takto,like this
nemám,I have no
kam,where
svoju,your own
idem,I'm coming
myslel,thought
pravdu,truth
chce,wants
samozrejme,of course
povedala,she said
peniaze,money
preč,away
mohli,they could
žiadne,none
vlastne,actually
miesto,the place
ním,by him
pár,a pair
než,than
problém,a problem
chcete,you want
tvoje,yours
mama,mother
vôbec,at all
potrebujem,I need
lepšie,better
rýchlo,quickly
niekedy,sometimes
tebe,to you
musí,must
vidieť,to see
ideme,we are going
sám,on my own
spolu,together
celý,whole
pod,Come
tej,that one
u,u
von,out
dlho,long time
taký,such
úplne,completely
deti,children
tých,those
prišiel,Arrived
určite,for sure
pani,Mrs
vyzerá,looks like
večer,evening
co,what
ráno,morning
seba,yourself
nich,them
fajn,fine
môžeme,We can
veď,after all
koľko,how much
urobil,he made
aký,what
dievča,girl
aké,what kind
všetkých,all
príliš,too much
dva,two
pravda,the truth
tri,three
budú,they will be
hovoriť,to speak
meno,name
majú,they have
rada,council
dostať,get
pozor,WARNING
ktorá,which
čom,what
cez,through
váš,yours
dole,down
môjho,mine
zajtra,tomorrow
nebude,will not be
hore,up
riti,ass
nejaký,some
tieto,these
pomôcť,help
i,i
mojej,mine
tejto,this one
dieťa,a child
prestaň,Stop
muž,man
neho,him
niekoho,someone
môžete,you can
svoj,own
ano,Yes
žena,a woman
oni,they
auto,car
super,great
fakt,the fact
vidím,I see
správne,correctly
dať,give
hovorí,he says
istý,certain
radšej,Rather
jedno,doesn't matter
pozrite,look
znamená,means
vaše,yours
medzi,between
ďalej,further
budete,you will
nebol,he wasn't
predtým,before
moju,mine
ku,to
nechaj,leave it
chvíľu,a while
poviem,I tell
chcela,she wanted
náš,ours
